name,compiler,type,threads,input,minor_faults,branch_misses,time,mpxerrors,dtlb_store_misses,dtlb_stores,cycles,dtlb_loads,mpxbtnum,branch_instructions,dtlb_load_misses,instructions,major_faults
raytrace,icc,native,2,test,57989,378396668,35.86432284,,288961,24169897713,139177893855,56664323648,,34705489788,508004,208488310773,0
facesim,icc,native,2,test,616557,46571439,3.01072496,,4413866,2922970354,15232855586,7622403177,,2209756636,1082192,27920140930,0
fluidanimate,icc,native,2,test,2543,101346429,1.419750902,,16102,631488339,10254632179,4059311120,,2553777398,12923,15338525409,0
vips,icc,native,2,test,906,64180,0.018257679,,2502,16551988,66042910,34283731,,16879706,2552,126428723,0
ferret,icc,native,2,test,4685,7044387,0.105902844,,2475,41374591,461802077,276357352,,143518762,20692,845259196,0
dedup,icc,mpx_no_narrow_bounds_only_write,2,test,1117,52294,0.00729333,,0,0,10064124,4150161,,3348629,3515,16034047,0
canneal,icc,mpx_no_narrow_bounds_only_write,2,test,204,119983276,15.446324899,,1744,4768656450,115478040142,20008246085,,5306556180,758258,59128594527,0
swaptions,icc,mpx_no_narrow_bounds_only_write,2,test,1000,187370,0.011030441,,0,12903094,4308119,42090050,,16176345,1703,62350106,0
x264,icc,mpx_no_narrow_bounds_only_write,2,test,312,54531,0.002931509,,0,0,4082689,2669068,,1758308,2399,10355627,0
streamcluster,icc,mpx_no_narrow_bounds_only_write,2,test,433,679703,0.347881833,,56,92562096,672347942,293580524,,146141043,2105,928867975,0
blackscholes,icc,mpx_no_narrow_bounds_only_write,2,test,180,43892,0.002178545,,0,0,6932079,2163739,,1486735,0,8224965,0
bodytrack,icc,mpx_no_narrow_bounds_only_write,2,test,3478,1674639,0.219593908,,13176,149662956,1533329273,674102747,,389377097,9513,3686107599,0
raytrace,icc,mpx_no_narrow_bounds_only_write,2,test,387466,395226202,38.177924129,,916668,25812045970,147872724235,67489659956,,39454201604,2391842,230302270899,0
facesim,icc,mpx_no_narrow_bounds_only_write,2,test,657179,46937726,3.221758519,,4708110,3077254115,16242060584,7848209109,,2245762148,1152813,29599188622,0
fluidanimate,icc,mpx_no_narrow_bounds_only_write,2,test,7483,108701713,1.479347821,,1398111,699861632,10883753955,4255364826,,2567792193,178107,15952954617,0
vips,icc,mpx_no_narrow_bounds_only_write,2,test,1049,70219,0.022531893,,2516,20266464,81704882,38792916,,16233616,1819,153861335,0
ferret,icc,mpx_no_narrow_bounds_only_write,2,test,4954,7718102,0.112570297,,4591,51547314,631533642,331367236,,153452657,23213,1078902042,0
dedup,icc,mpx_no_narrow_bounds,2,test,1123,53290,0.007470566,,0,0,8105263,4276847,,3432299,3136,17626374,0
canneal,icc,mpx_no_narrow_bounds,2,test,203,122686472,15.965862061,,1717,4852016431,119277309846,20823538365,,5306832220,752024,67643197370,0
swaptions,icc,mpx_no_narrow_bounds,2,test,1047,172001,0.014949722,,2458,13067598,85061691,51505175,,11474909,1368,54250805,0
x264,icc,mpx_no_narrow_bounds,2,test,,,,,,,,,,,,,
streamcluster,icc,mpx_no_narrow_bounds,2,test,433,809460,0.362213009,,150,96086718,769679042,300371229,,145975087,1385,1088088888,0
blackscholes,icc,mpx_no_narrow_bounds,2,test,182,42275,0.002339585,,0,0,4703670,2175083,,1492781,2650,8265530,0
bodytrack,icc,mpx_no_narrow_bounds,2,test,3579,1674323,0.25220654,,5781,149445722,1756289958,733466424,,381713391,10740,4066899181,0
raytrace,icc,mpx_no_narrow_bounds,2,test,382737,390723323,41.425193503,,919371,29769991346,161933962281,72163235241,,39498275123,2029738,259815819854,0
facesim,icc,mpx_no_narrow_bounds,2,test,658098,43974556,3.356370962,,4473724,3072157352,17231307432,8112882416,,2224327092,1225361,32469032934,0
fluidanimate,icc,mpx_no_narrow_bounds,2,test,7275,110431814,1.544545151,,1399771,753281847,11361084308,4415505179,,2567463713,175034,18170912798,0
vips,icc,mpx_no_narrow_bounds,2,test,1075,145852,0.02807237,,1690,22151148,104751766,43713147,,22339315,3114,207502991,0
ferret,icc,mpx_no_narrow_bounds,2,test,5518,7625933,0.142958252,,5198,55569072,851379975,386978073,,146465138,27595,1361856734,0
dedup,icc,mpx_only_write,2,test,1120,52479,0.007406624,,0,0,7942128,4073570,,3300563,3503,16753222,0
canneal,icc,mpx_only_write,2,test,203,120515916,15.536513982,,2197,4786920789,115793683476,18982092782,,5288618835,1423308,59230540458,0
swaptions,icc,mpx_only_write,2,test,998,186355,0.018635897,,0,12233134,4361269,42023219,,17054707,1229,66513945,0
x264,icc,mpx_only_write,2,test,,,,,,,,,,,,,
streamcluster,icc,mpx_only_write,2,test,433,694915,0.346902668,,216,90406662,670619381,266635873,,145500491,3252,917383846,0
blackscholes,icc,mpx_only_write,2,test,180,43809,0.002283076,,0,0,7030286,2164739,,1487274,0,8227317,0
bodytrack,icc,mpx_only_write,2,test,3488,1544819,0.221838094,,17102,152695026,1558194702,675450827,,390790328,9521,3600198432,0
raytrace,icc,mpx_only_write,2,test,,,,,,,,,,,,,
facesim,icc,mpx_only_write,2,test,657413,47213828,3.319859924,,4639214,3311883052,16781086413,8131508404,,2239308385,1167008,30727003562,0
fluidanimate,icc,mpx_only_write,2,test,7483,108523942,1.492784742,,1397154,808599878,11003928871,4417456662,,2558707514,174518,16407206147,0
vips,icc,mpx_only_write,2,test,1067,70834,0.023465826,,2809,19782755,83066945,38998001,,16652571,1437,159338315,0
ferret,icc,mpx_only_write,2,test,,,,,,,,,,,,,
dedup,icc,mpx,2,test,1125,52373,0.007224874,,0,0,14375428,4151532,,3346842,4065,17153338,0
canneal,icc,mpx,2,test,203,123303790,15.818209992,,1834,6228744206,118155812507,21498909185,,5286098827,2256953,72945511656,0
swaptions,icc,mpx,2,test,1001,173653,0.014801671,,2426,13023007,86765732,51482891,,11766496,1532,57111165,0
x264,icc,mpx,2,test,,,,,,,,,,,,,
streamcluster,icc,mpx,2,test,432,717062,0.357351052,,121,93023147,660193586,309641625,,142534665,1084,958839087,0
blackscholes,icc,mpx,2,test,182,44716,0.002393858,,0,0,7231110,2172927,,1491525,1268,8254566,0
bodytrack,icc,mpx,2,test,3412,1609717,0.259574905,,3038,176502217,1820430977,733795494,,386716193,9217,4150658216,0
raytrace,icc,mpx,2,test,,,,,,,,,,,,,
facesim,icc,mpx,2,test,657152,44799006,3.519601931,,4554967,3525519168,18121779810,8617305447,,2203620454,1150624,34192621267,0
fluidanimate,icc,mpx,2,test,7273,108487312,1.703521616,,1413662,1983399641,12502559439,6104707275,,2572611967,188042,24000696011,0
vips,icc,mpx,2,test,,,,,,,,,,,,,
ferret,icc,mpx,2,test,,,,,,,,,,,,,
