name,compiler,type,threads,input,failed_requests,major_faults,complete_requests,cycles,dtlb_store_misses,sgxtime,tput,lat,branch_misses,branch_instructions,mpxerrors,num_clients,sgxmem,dtlb_load_misses,dtlb_stores,time,instructions,minor_faults,dtlb_loads,mpxbtnum
bin/httpd,icc,mpx_no_narrow_bounds_only_write,1,13,0,,521709,,,,26085.4,0.498,,,,13,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds_only_write,1,17,0,,648798,,,,32439.9,0.524,,,,17,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds_only_write,1,21,0,,848968,,,,42448.22,0.495,,,,21,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds_only_write,1,25,0,,912060,,,,45602.95,0.548,,,,25,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds_only_write,1,29,0,,880151,,,,44007.43,0.659,,,,29,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds_only_write,1,31,0,,904346,,,,45217.28,0.686,,,,31,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds_only_write,1,33,0,,887108,,,,44355.38,0.744,,,,33,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds_only_write,1,35,0,,904388,,,,45219.33,0.774,,,,35,,,,,,,,
bin/httpd,gcc,asan,1,1,0,,26975,,,,1348.74,0.741,,,,1,,,,,,,,
bin/httpd,gcc,asan,1,5,0,,181504,,,,9075.18,0.551,,,,5,,,,,,,,
bin/httpd,gcc,asan,1,9,0,,327117,,,,16355.72,0.55,,,,9,,,,,,,,
bin/httpd,gcc,asan,1,13,0,,471003,,,,23550.11,0.552,,,,13,,,,,,,,
bin/httpd,gcc,asan,1,17,0,,628569,,,,31427.88,0.541,,,,17,,,,,,,,
bin/httpd,gcc,asan,1,21,0,,720404,,,,36020.1,0.583,,,,21,,,,,,,,
bin/httpd,gcc,asan,1,25,0,,876064,,,,43803.2,0.571,,,,25,,,,,,,,
bin/httpd,gcc,asan,1,29,0,,907497,,,,45374.83,0.639,,,,29,,,,,,,,
bin/httpd,gcc,asan,1,31,0,,910176,,,,45508.8,0.681,,,,31,,,,,,,,
bin/httpd,gcc,asan,1,33,0,,946154,,,,47307.59,0.698,,,,33,,,,,,,,
bin/httpd,gcc,asan,1,35,0,,927687,,,,46384.03,0.755,,,,35,,,,,,,,
bin/httpd,clang,asan,1,1,0,,27902,,,,1395.08,0.717,,,,1,,,,,,,,
bin/httpd,clang,asan,1,5,0,,180702,,,,9035.08,0.553,,,,5,,,,,,,,
bin/httpd,clang,asan,1,9,0,,335763,,,,16788.13,0.536,,,,9,,,,,,,,
bin/httpd,clang,asan,1,13,0,,495426,,,,24771.28,0.525,,,,13,,,,,,,,
bin/httpd,clang,asan,1,17,0,,693466,,,,34673.27,0.49,,,,17,,,,,,,,
bin/httpd,clang,asan,1,21,0,,881133,,,,44056.55,0.477,,,,21,,,,,,,,
bin/httpd,clang,asan,1,25,0,,964648,,,,48232.4,0.518,,,,25,,,,,,,,
bin/httpd,clang,asan,1,29,0,,966590,,,,48329.47,0.6,,,,29,,,,,,,,
bin/httpd,clang,asan,1,31,0,,949974,,,,47498.6,0.653,,,,31,,,,,,,,
bin/httpd,clang,asan,1,33,1,,942194,,,,47109.66,0.7,,,,33,,,,,,,,
bin/httpd,clang,asan,1,35,0,,926226,,,,46311.26,0.756,,,,35,,,,,,,,
bin/httpd,gcc,asan_only_write,1,1,0,,25866,,,,1293.26,0.773,,,,1,,,,,,,,
bin/httpd,gcc,asan_only_write,1,5,0,,171887,,,,8594.23,0.582,,,,5,,,,,,,,
bin/httpd,gcc,asan_only_write,1,9,0,,328112,,,,16405.52,0.549,,,,9,,,,,,,,
bin/httpd,gcc,asan_only_write,1,13,0,,522651,,,,26132.55,0.497,,,,13,,,,,,,,
bin/httpd,gcc,asan_only_write,1,17,0,,648983,,,,32449.15,0.524,,,,17,,,,,,,,
bin/httpd,gcc,asan_only_write,1,21,0,,840778,,,,42038.88,0.5,,,,21,,,,,,,,
bin/httpd,gcc,asan_only_write,1,25,0,,885070,,,,44253.43,0.565,,,,25,,,,,,,,
bin/httpd,gcc,asan_only_write,1,29,0,,878728,,,,43936.38,0.66,,,,29,,,,,,,,
bin/httpd,gcc,asan_only_write,1,31,21,,820315,,,,41015.72,0.756,,,,31,,,,,,,,
bin/httpd,gcc,asan_only_write,1,33,0,,917559,,,,45877.85,0.719,,,,33,,,,,,,,
bin/httpd,gcc,asan_only_write,1,35,0,,906058,,,,45302.49,0.773,,,,35,,,,,,,,
bin/httpd,gcc,native,1,1,0,,42038,,,,2101.89,0.476,,,,1,,,,,,,,
bin/httpd,gcc,native,1,5,0,,175872,,,,8793.47,0.569,,,,5,,,,,,,,
bin/httpd,gcc,native,1,9,0,,348024,,,,17401.14,0.517,,,,9,,,,,,,,
bin/httpd,gcc,native,1,13,0,,537665,,,,26883.16,0.484,,,,13,,,,,,,,
bin/httpd,gcc,native,1,17,0,,751669,,,,37583.4,0.452,,,,17,,,,,,,,
bin/httpd,gcc,native,1,21,0,,900950,,,,45047.44,0.466,,,,21,,,,,,,,
bin/httpd,gcc,native,1,25,0,,1000000,,,,51132.51,0.489,,,,25,,,,,,,,
bin/httpd,gcc,native,1,29,0,,993848,,,,49692.38,0.584,,,,29,,,,,,,,
bin/httpd,gcc,native,1,31,0,,987981,,,,49398.97,0.628,,,,31,,,,,,,,
bin/httpd,gcc,native,1,33,0,,1000000,,,,51115.7,0.646,,,,33,,,,,,,,
bin/httpd,gcc,native,1,35,0,,1000000,,,,50062.81,0.699,,,,35,,,,,,,,
bin/httpd,icc,native,1,1,0,,28547,,,,1427.34,0.701,,,,1,,,,,,,,
bin/httpd,icc,native,1,5,0,,164695,,,,8234.63,0.607,,,,5,,,,,,,,
bin/httpd,icc,native,1,9,0,,331636,,,,16581.71,0.543,,,,9,,,,,,,,
bin/httpd,icc,native,1,13,0,,520481,,,,26023.99,0.5,,,,13,,,,,,,,
bin/httpd,icc,native,1,17,0,,693472,,,,34673.53,0.49,,,,17,,,,,,,,
bin/httpd,icc,native,1,21,0,,822471,,,,41123.07,0.511,,,,21,,,,,,,,
bin/httpd,icc,native,1,25,0,,846442,,,,42322.09,0.591,,,,25,,,,,,,,
bin/httpd,icc,native,1,29,0,,883313,,,,44165.6,0.657,,,,29,,,,,,,,
bin/httpd,icc,native,1,31,0,,920821,,,,46041.03,0.673,,,,31,,,,,,,,
bin/httpd,icc,native,1,33,0,,918740,,,,45936.98,0.718,,,,33,,,,,,,,
bin/httpd,icc,native,1,35,0,,920255,,,,46012.16,0.761,,,,35,,,,,,,,
bin/httpd,clang,native,1,1,0,,28899,,,,1444.93,0.692,,,,1,,,,,,,,
bin/httpd,clang,native,1,5,0,,159438,,,,7971.83,0.627,,,,5,,,,,,,,
bin/httpd,clang,native,1,9,0,,323690,,,,16184.49,0.556,,,,9,,,,,,,,
bin/httpd,clang,native,1,13,0,,517550,,,,25877.46,0.502,,,,13,,,,,,,,
bin/httpd,clang,native,1,17,0,,662978,,,,33148.88,0.513,,,,17,,,,,,,,
bin/httpd,clang,native,1,21,0,,848104,,,,42405.15,0.495,,,,21,,,,,,,,
bin/httpd,clang,native,1,25,0,,841823,,,,42090.73,0.594,,,,25,,,,,,,,
bin/httpd,clang,native,1,29,0,,874002,,,,43700.01,0.664,,,,29,,,,,,,,
bin/httpd,clang,native,1,31,0,,920327,,,,46016.26,0.674,,,,31,,,,,,,,
bin/httpd,clang,native,1,33,0,,909326,,,,45466.25,0.726,,,,33,,,,,,,,
bin/httpd,clang,native,1,35,0,,917862,,,,45892.69,0.763,,,,35,,,,,,,,
bin/httpd,gcc,mpx_no_narrow_bounds,1,1,0,,27861,,,,1393.02,0.718,,,,1,,,,,,,,
bin/httpd,gcc,mpx_no_narrow_bounds,1,5,0,,173467,,,,8673.35,0.576,,,,5,,,,,,,,
bin/httpd,gcc,mpx_no_narrow_bounds,1,9,0,,349916,,,,17495.77,0.514,,,,9,,,,,,,,
