"name","compiler","type","PORT_0","PORT_1","PORT_2","PORT_3","PORT_4","PORT_5","PORT_6","PORT_7"
"sphinx3","gcc","asan","19.3","18.3"," 9.6"," 9.6"," 1.3","20.1","23.3"," 0.77"
"milc","gcc","asan","17.3","15.9","12.3","12.7"," 5.9","15.5","20.4"," 3.28"
"libquantum","gcc","asan","20.0","16.4","10.6","11.7"," 6.8","16.6","26.2"," 2.22"
"bzip2","gcc","asan","18.9","16.5","10.6","10.8"," 5.3","15.1","21.1"," 3.98"
"gcc","gcc","asan","15.9","14.3","13.7","14.1","12.3","14.5","24.0"," 6.04"
"gobmk","gcc","asan","14.8","15.5","11.8","12.3"," 7.7","14.7","21.3"," 4.11"
"omnetpp","gcc","asan","17.2","14.7","12.9","13.3"," 9.4","14.5","23.9"," 5.95"
"mcf","gcc","asan","24.3","18.3","17.7","18.0"," 4.5","17.5","26.9"," 2.92"
"sjeng","gcc","asan","16.9","16.5","10.5","10.8"," 4.7","17.1","22.2"," 2.36"
"h264ref","gcc","asan","16.8","17.3","11.9","12.1"," 4.3","17.4","19.5"," 2.41"
