name,compiler,type,threads,input,mpxbtnum,cycles,major_faults,instructions,dtlb_store_misses,branch_instructions,branch_misses,dtlb_load_misses,dtlb_loads,time,mpxerrors,minor_faults,dtlb_stores
namd,gcc,native,1,native,,1053778056495,0,1127460846363,244096,56937746730,1957423154,431772,258211884525,277.577753682,,11154,66306344237
namd,gcc,native,1,native,,1053603543817,0,1127478959780,193324,56945605497,1957256573,343709,258214681072,277.546355453,,10643,66325993100
namd,gcc,native,1,native,,1053567316065,0,1127482290012,166246,56905753502,1958193563,276816,258208164485,277.520353707,,11664,66290618365
namd,gcc,native,1,native,,1053992735101,0,1127383087029,113147,56913060537,1957867527,191456,258242803942,277.631967822,,11151,66300992269
sjeng,gcc,native,1,native,,1283634922578,0,2291980617422,96482,455281307477,15349774847,3302130,522668834087,338.338257644,,3457,191837367683
sjeng,gcc,native,1,native,,1282474084700,0,2292257193610,29942,455269920078,15345288179,1275879,522642470921,338.142674917,,2940,191850534839
sjeng,gcc,native,1,native,,1282293673265,0,2291984472261,31310,455263525271,15348930130,1461275,522650827642,338.008305722,,2937,191869293606
sjeng,gcc,native,1,native,,1282175072420,0,2292359836529,28619,455324646919,15346728745,1202651,522578996240,337.872564136,,2936,191797777327
sjeng,gcc,native,1,native,,1282572771758,0,2291883826297,33972,455254548988,15349719943,1167218,522673977625,338.072159682,,2942,191861002340
sjeng,gcc,native,1,native,,1282098074459,0,2292287549806,41218,455249331577,15349634500,1117715,522624993079,337.920337363,,2934,191877344352
sjeng,gcc,native,1,native,,1282666040567,0,2291898180999,47829,455264824760,15349622838,1127630,522764995713,338.107993407,,2946,191857268592
sjeng,gcc,native,1,native,,1283352088408,0,2292174298798,28406,455227065086,15358081991,1123471,522655561498,338.276683365,,2945,191869637658
sjeng,gcc,native,1,native,,1282297604306,0,2292011528041,29398,455292842327,15345878731,1438099,522705144266,337.957127605,,2935,191872845917
sjeng,gcc,native,1,native,,1282462055522,0,2292197248551,30606,455255141705,15350612662,1152714,522652499881,338.074942142,,2941,191805619264
dealII,gcc,native,1,native,,31320244117,0,76089395397,335303,11481606578,134185613,446702,25354355593,8.302773567,,67185,5524856497
dealII,gcc,native,1,native,,31293434482,0,76023502339,298192,11527747642,133229439,485846,25462319707,8.297987519,,69229,5570965683
dealII,gcc,native,1,native,,31288270931,0,76077174697,312988,11495420211,133916765,455129,25405337682,8.292708132,,67187,5564243586
dealII,gcc,native,1,native,,31305503359,0,76079350895,317119,11521610821,133780485,466646,25409629844,8.298932332,,67187,5580333830
dealII,gcc,native,1,native,,31298955685,0,76055520647,304230,11522839207,133026607,522057,25467105244,8.293063982,,69745,5553823824
dealII,gcc,native,1,native,,31294420665,0,75985373866,309949,11516767203,133638147,464218,25428315036,8.296426183,,67697,5603285538
dealII,gcc,native,1,native,,31295695988,0,75935398588,313449,11528289718,133241273,474527,25511801263,8.290943182,,67187,5601633840
dealII,gcc,native,1,native,,31292331457,0,76045145051,328035,11487297973,134476273,453072,25357566285,8.301670607,,66677,5550299177
dealII,gcc,native,1,native,,31285727815,0,75981301642,320591,11518580540,133612405,461330,25484583846,8.29108872,,67706,5593998707
dealII,gcc,native,1,native,,31290942782,0,75935383936,283899,11518458713,133061966,466620,25482111602,8.290730483,,66163,5587714313
lbm,gcc,native,1,native,,1549898062486,0,1252790002370,8842,15354410822,48270651,2936,243906222768,408.457266266,,1610,124714752602
lbm,gcc,native,1,native,,1550101762872,0,1252796934464,8444,15348592370,48266786,1872,243908199461,408.501547591,,1608,124711792021
lbm,gcc,native,1,native,,1549887075551,0,1252784105458,3746,15353127035,48189270,2829,243915694643,408.485213868,,1099,124709271353
lbm,gcc,native,1,native,,1550609595850,0,1252734382749,7896,15351224664,48199640,1861,243942373254,408.612514485,,1607,124706733469
lbm,gcc,native,1,native,,1550453270543,0,1252694341375,8552,15349878487,48300811,2411,243913508164,408.562607331,,1605,124713840100
lbm,gcc,native,1,native,,1549647135065,0,1252682076894,3442,15342825008,48208165,2125,243913682357,408.363848293,,1097,124699738004
lbm,gcc,native,1,native,,1550139103047,0,1252712539351,8862,15351091895,48318981,1931,243939828849,408.477921082,,1609,124709115887
lbm,gcc,native,1,native,,1550139568829,0,1252752975664,3610,15339985512,48176381,1578,243909981720,408.539151241,,1098,124705009944
lbm,gcc,native,1,native,,1550150434280,0,1252703095496,10110,15363563214,48291716,3558,243913612149,408.517044342,,1608,124708518001
lbm,gcc,native,1,native,,1550155556620,0,1252778545517,3286,15344342351,48255453,1770,243911377835,408.547607286,,1100,124715315241
gobmk,gcc,native,1,native,,171100164013,0,215261096233,66605,41280091644,3080489039,111156,51953311465,45.118321405,,2614,27925514622
gobmk,gcc,native,1,native,,171241666086,0,215291288375,295410,41306969622,3078788919,663407,51969186470,45.163957928,,2611,27877841289
gobmk,gcc,native,1,native,,171267027371,0,215271088100,346401,41305694461,3078303233,1314005,51976100728,45.169500397,,2611,27875911262
gobmk,gcc,native,1,native,,171247523845,0,215278412751,269095,41311585856,3080082587,601781,51954505704,45.16892099,,2612,27916568989
gobmk,gcc,native,1,native,,171249168122,0,215226613070,108295,41313830877,3079291653,182507,51982161481,45.167301098,,2099,27899847796
gobmk,gcc,native,1,native,,171200925646,0,215385220302,58771,41311592900,3083053178,140840,51935367342,45.148275481,,2612,27990466775
gobmk,gcc,native,1,native,,171217855440,0,215250722896,292568,41292604196,3080107732,500463,51988341030,45.154425622,,2609,27930062911
gobmk,gcc,native,1,native,,171695797701,0,215286812142,324964,41317702688,3086598369,355065,51983403834,45.278273954,,2610,27963186816
gobmk,gcc,native,1,native,,171522042537,0,215567746253,363693,41363739631,3080081788,1356749,51898609615,45.232396957,,2611,27858498307
gobmk,gcc,native,1,native,,171358438919,0,215270494132,249658,41306883690,3082084191,263177,51952872654,45.182912408,,2612,28021503028
soplex,gcc,native,1,native,,56860002809,0,78467513169,8838316,15901685729,324869565,28168740,20898104983,15.196548262,,198552,6344660204
soplex,gcc,native,1,native,,56578349887,0,78502603874,8348748,16005500741,325454154,20588787,20865953916,15.114656889,,207437,6349083249
soplex,gcc,native,1,native,,57374399104,0,78464906528,8763342,16025066581,340721584,27890555,20838183453,15.338744702,,201965,6374370527
soplex,gcc,native,1,native,,53639620540,0,78339325976,8706929,15946750815,327062305,25745423,20829895669,14.528105619,,197805,6374311908
soplex,gcc,native,1,native,,53575652570,0,78666104692,8322972,15982564163,320703170,23249143,20864413385,14.558527456,,183727,6324008991
soplex,gcc,native,1,native,,53469538330,0,78652765498,6186686,15895310653,321955803,17340468,20872411763,14.406212108,,208738,6380353633
soplex,gcc,native,1,native,,53729308139,0,78566790163,8222803,15938861054,329708525,20350198,20856879676,14.502577609,,193207,6386938823
soplex,gcc,native,1,native,,56926059594,0,78734414505,8696800,16022397807,326747854,25055335,20841510185,15.251752553,,209369,6361739406
soplex,gcc,native,1,native,,57089957409,0,78665242676,9084951,16017036662,332769727,25899409,20813197522,15.221088151,,212075,6390994672
soplex,gcc,native,1,native,,53722330490,0,78584271232,8782531,16021794678,322148788,27750339,20848356722,14.507064996,,195083,6361886196
h264ref,gcc,native,1,native,,106037973138,0,250870111523,86276,23761875296,487129519,192029,95858907387,27.943821932,,5737,18644216744
h264ref,gcc,native,1,native,,105675504956,0,250586604403,66846,23685744437,488319005,152390,95852460949,27.850939525,,5735,18696130647
h264ref,gcc,native,1,native,,105554708660,0,250513022880,80651,23766047365,490016547,169633,95773854683,27.810124862,,5737,18600482472
h264ref,gcc,native,1,native,,105752945200,0,250527038642,91673,23690246385,488511322,183109,95868826929,27.862434387,,5740,18702327946
h264ref,gcc,native,1,native,,105743723499,0,250683373432,86574,23680850426,487346363,189825,95905039743,27.85985305,,5737,18683284394
h264ref,gcc,native,1,native,,105612774925,0,250384270684,84172,23719715921,490762687,181443,95875450661,27.825899968,,5739,18613131902
h264ref,gcc,native,1,native,,105741875512,0,250961479601,87964,23729702497,484824508,183246,95684628369,27.866613914,,5736,18677379493
h264ref,gcc,native,1,native,,105711231296,0,250743856462,87543,23715325641,488253639,182016,95894788342,27.866872924,,5736,18715449402
h264ref,gcc,native,1,native,,105784982317,0,250793009352,89942,23759623674,485990645,186410,95853561191,27.870779195,,5736,18667978312
h264ref,gcc,native,1,native,,105551725456,0,250626596191,57159,23765500628,484401746,132221,96010759794,27.820396646,,5740,18647434916
