name,compiler,type,threads,input,instructions,llc_store_misses,mpxerrors,l1_dcache_stores,l1_dcache_load_misses,llc_loads,l1_dcache_loads,l1_dcache_store_misses,llc_load_misses,llc_stores,time,mpxbtnum
lbm,gcc,native,1,None,1252681583529,3325029238,,124692254458,64542213559,41552144,243924766720,1,17039847,8817458131,408.322212842,
lbm,gcc,native,1,None,1252772358488,3405929832,,124709771692,64554811332,28143756,243960766293,1,12126433,8837981869,410.520665945,
lbm,gcc,native,1,None,1252569564750,3411813168,,124705653197,64552124470,28082086,243960411690,1,12192688,8838675534,410.454073137,
lbm,gcc,native,1,None,1252518127489,3326070478,,124701531575,64543132476,42381032,243896093528,1,16881391,8820523357,408.335236782,
lbm,gcc,native,1,None,1252544529910,3333455258,,124700731831,64534171922,42797980,243891368451,1,17297989,8832498734,408.496458547,
gobmk,gcc,native,1,None,215342180709,45712628,,27842510918,1402983730,196950754,51897160573,1,15103459,246942126,45.212838556,
gobmk,gcc,native,1,None,215137491093,40172994,,27884306801,1398849683,196322576,51931583297,1,15868551,251044966,45.280960469,
gobmk,gcc,native,1,None,215616945454,31955455,,27891920724,1398541657,192222535,52016099908,1,15462707,226111045,45.228486005,
gobmk,gcc,native,1,None,215443128504,34834021,,27954535670,1401956084,189717426,51968659165,1,15571958,254063886,45.249473213,
gobmk,gcc,native,1,None,215283869540,39404533,,27957902620,1410028804,187686139,51946870694,1,15633525,245224997,45.196533451,
bzip2,gcc,native,1,None,169541815186,12051981,,19553297637,2264333563,655357737,39565517012,1,1514123,1366455920,20.696008325,
bzip2,gcc,native,1,None,169470374457,7936174,,19629622514,2240891468,651443412,39486395755,1,1465855,1302858598,20.707227902,
bzip2,gcc,native,1,None,169380147489,10619315,,19557616495,2255261570,656189769,39475742710,1,1617527,1323871111,20.69294987,
bzip2,gcc,native,1,None,169106071506,8101983,,19504883705,2259628470,650501740,39388782743,1,1555259,1339471270,20.68532669,
bzip2,gcc,native,1,None,169264459203,7829972,,19592606354,2248462190,653548033,39479497450,1,1426705,1320966378,20.706531243,
gcc,gcc,native,1,None,4420653272,53405728,,673823859,168954223,38583145,1087480649,1,25179001,69556032,2.813441065,
