name,compiler,type,threads,input,involuntary_context_switches,mpxbtnum,voluntary_context_switches,major_faults,user_time,mpxerrors,time,minor_faults,maxsize,sys_time
bzip2,gcc,native,1,2,72,,2,0,33.86,,33.88,4570,380704,0.01
bzip2,gcc,native,1,3,138,,1,0,67.75,,67.79,4779,749464,0.03
bzip2,gcc,native,1,4,264,,2,0,135.51,,135.58,5200,1486984,0.06
dealII,gcc,native,1,0,4,,1,0,0.56,,0.56,6142,14308,0.0
dealII,gcc,native,1,1,15,,1,0,1.54,,1.54,14672,22288,0.0
dealII,gcc,native,1,2,17,,1,0,4.3,,4.35,37936,51296,0.04
dealII,gcc,native,1,3,55,,4,0,22.78,,22.97,187450,219288,0.17
dealII,gcc,native,1,4,517,,1,0,246.45,,247.83,1754654,910956,1.35
dealII,gcc,native,1,0,5,,1,0,0.56,,0.56,6142,14308,0.0
dealII,gcc,native,1,1,11,,1,0,1.53,,1.54,14672,22288,0.0
dealII,gcc,native,1,2,18,,1,0,4.33,,4.35,37936,51296,0.02
dealII,gcc,native,1,3,64,,1,0,22.76,,22.93,187449,219288,0.16
dealII,gcc,native,1,4,551,,10,0,245.77,,247.22,1754658,910956,1.41
dealII,gcc,native,1,0,9,,1,0,0.55,,0.56,6142,14308,0.0
dealII,gcc,native,1,1,7,,1,0,1.54,,1.54,14672,22288,0.0
dealII,gcc,native,1,2,21,,2,0,4.32,,4.35,37936,51296,0.02
dealII,gcc,native,1,3,63,,1,0,22.76,,22.93,187449,219288,0.17
dealII,gcc,native,1,4,559,,16,0,245.89,,247.32,1754663,910956,1.39
dealII,gcc,native,1,0,8,,1,0,0.55,,0.56,6142,14308,0.0
dealII,gcc,native,1,1,6,,1,0,1.53,,1.54,14672,22288,0.0
dealII,gcc,native,1,2,20,,1,0,4.3,,4.34,37936,51296,0.04
dealII,gcc,native,1,3,65,,1,0,22.76,,22.93,187449,219288,0.16
dealII,gcc,native,1,4,555,,16,0,246.28,,247.68,1754661,910956,1.35
dealII,gcc,native,1,0,9,,1,0,0.55,,0.56,6142,14308,0.0
dealII,gcc,native,1,1,4,,1,0,1.53,,1.54,14672,22288,0.0
dealII,gcc,native,1,2,21,,1,0,4.31,,4.35,37936,51296,0.03
dealII,gcc,native,1,3,64,,1,0,22.76,,22.93,187449,219288,0.16
dealII,gcc,native,1,4,556,,2,0,246.14,,247.68,1754654,910956,1.5
dealII,gcc,native,1,0,4,,1,0,0.55,,0.56,6142,14308,0.0
dealII,gcc,native,1,1,8,,1,0,1.52,,1.54,14672,22288,0.01
dealII,gcc,native,1,2,19,,1,0,4.31,,4.35,37936,51296,0.03
dealII,gcc,native,1,3,67,,1,0,22.79,,22.95,187449,219288,0.14
dealII,gcc,native,1,4,555,,16,0,246.1,,247.47,1754661,910956,1.33
dealII,gcc,native,1,0,4,,1,0,0.56,,0.56,6142,14308,0.0
dealII,gcc,native,1,1,9,,1,0,1.52,,1.54,14672,22288,0.02
dealII,gcc,native,1,2,20,,1,0,4.32,,4.34,37936,51296,0.02
dealII,gcc,native,1,3,67,,1,0,22.8,,22.94,187449,219288,0.14
dealII,gcc,native,1,4,553,,14,0,245.99,,247.41,1754660,910956,1.38
dealII,gcc,native,1,0,3,,1,0,0.55,,0.56,6142,14308,0.0
dealII,gcc,native,1,1,12,,1,0,1.52,,1.54,14672,22288,0.02
dealII,gcc,native,1,2,19,,1,0,4.29,,4.35,37936,51296,0.05
dealII,gcc,native,1,3,62,,1,0,22.81,,22.96,187449,219288,0.14
dealII,gcc,native,1,4,554,,21,0,246.22,,247.62,1754665,910956,1.36
dealII,gcc,native,1,0,7,,1,0,0.55,,0.56,6142,14308,0.0
dealII,gcc,native,1,1,10,,1,0,1.54,,1.54,14672,22288,0.0
dealII,gcc,native,1,2,22,,2,0,4.34,,4.35,37937,51296,0.01
dealII,gcc,native,1,3,62,,1,0,22.8,,22.95,187449,219288,0.14
dealII,gcc,native,1,4,555,,2,0,246.49,,247.85,1754654,910956,1.33
dealII,gcc,native,1,0,9,,1,0,0.53,,0.56,6142,14308,0.02
dealII,gcc,native,1,1,9,,1,0,1.54,,1.54,14672,22288,0.0
dealII,gcc,native,1,2,19,,2,0,4.32,,4.34,37936,51296,0.02
dealII,gcc,native,1,3,64,,1,0,22.8,,22.94,187449,219288,0.13
dealII,gcc,native,1,4,553,,7,0,245.95,,247.44,1754659,910956,1.45
hmmer,icc,native,1,0,5,,1,0,0.63,,0.64,4378,21900,0.0
hmmer,icc,native,1,1,3,,1,0,1.26,,1.27,5190,31336,0.0
hmmer,icc,native,1,2,8,,1,0,2.32,,2.33,8015,73292,0.0
hmmer,icc,native,1,3,13,,1,0,5.51,,5.53,10910,145700,0.02
hmmer,icc,native,1,4,24,,1,0,10.03,,10.06,14411,290832,0.03
hmmer,icc,native,1,0,4,,1,0,0.64,,0.64,4378,21900,0.0
hmmer,icc,native,1,1,3,,1,0,1.26,,1.27,5190,31336,0.0
hmmer,icc,native,1,2,7,,1,0,2.32,,2.33,8015,73292,0.0
hmmer,icc,native,1,3,14,,1,0,5.52,,5.53,10910,145700,0.01
hmmer,icc,native,1,4,20,,1,0,10.05,,10.07,14411,290832,0.02
hmmer,icc,native,1,0,4,,1,0,0.63,,0.64,4378,21900,0.01
hmmer,icc,native,1,1,4,,1,0,1.27,,1.27,5190,31336,0.0
hmmer,icc,native,1,2,6,,1,0,2.32,,2.33,8015,73292,0.0
hmmer,icc,native,1,3,12,,1,0,5.52,,5.53,10910,145700,0.0
hmmer,icc,native,1,4,21,,1,0,10.05,,10.06,14411,290832,0.01
hmmer,icc,native,1,0,4,,1,0,0.64,,0.64,4378,21900,0.0
hmmer,icc,native,1,1,3,,1,0,1.26,,1.27,5190,31336,0.0
hmmer,icc,native,1,2,7,,1,0,2.33,,2.33,8015,73292,0.0
hmmer,icc,native,1,3,12,,1,0,5.52,,5.53,10910,145700,0.01
hmmer,icc,native,1,4,22,,1,0,10.04,,10.07,14411,290832,0.03
hmmer,icc,native,1,0,2,,1,0,0.64,,0.64,4378,21900,0.0
