name,compiler,type,threads,input,dtlb_stores,minor_faults,dtlb_store_misses,branch_misses,mpxerrors,branch_instructions,mpxbtnum,major_faults,cycles,dtlb_load_misses,time,dtlb_loads,instructions
kmeans,icc,mpx_no_narrow_bounds,1,native,288776563,1522,272,80861875,,48580399531,,0,107626650073,17721,28.347646878,29184000632,336312183303
pca,icc,mpx_no_narrow_bounds,1,native,112214926,17812,4506947,4960549,,3565064807,,0,38678793275,455121,10.193893886,7016491459,68405948799
word_count,icc,mpx_no_narrow_bounds,1,native,19149955195,31412,461903,186235137,,10042319077,,0,84923187361,56898897,22.387538407,30775928047,93632333771
matrix_multiply,softbound,enabled,1,native,7333863346,2640,3483,34328121,,37532082969,,0,43411463485,371781,11.441301555,60440176546,148489255807
kmeans,softbound,enabled,1,native,20259484020,1250,70,80953327,,182329242561,,0,158400825070,2315,41.724952855,259282502882,725529211925
pca,softbound,enabled,1,native,150506341,17790,4173802,4959105,,94859269608,,0,75736306116,296939,19.953288604,108493446074,366043914787
matrix_multiply,clang,asan,1,native,7256396780,3809,5962,34532769,,20795003041,,0,32435947809,424262,8.547698693,26545825025,104617641471
kmeans,clang,asan,1,native,434226939,3647,4355,80877945,,89668498584,,0,120120904496,513547,31.63896617,81929036693,518214108625
pca,clang,asan,1,native,127640749,25593,4548966,4952752,,15442169519,,0,31760503488,6793375,8.370635882,20565439607,129332117730
word_count,clang,asan,1,native,64772027594,32891,164197,186621006,,72101385812,,0,94762880450,87476925,24.972633976,71645278669,358273419102
matrix_multiply,gcc,native,1,native,7224495370,2616,1186,34292819,,10555823114,,0,32559088967,339849,8.583513679,19709081862,80393651847
kmeans,gcc,native,1,native,540518525,1216,156,256542237,,44457344364,,0,50294569811,3270,13.248181284,48976389834,187974026620
pca,gcc,native,1,native,132597873,17758,4491995,4936501,,3565468728,,0,41422776459,212310,10.916569583,7025099912,58304869856
word_count,gcc,native,1,native,2490610499,28409,612929,236063743,,3856373720,,0,23320493806,84332368,6.155007766,4411613682,20444761902
matrix_multiply,icc,native,1,native,7235618604,2622,13383,34341745,,10588741993,,0,28552216145,310298,7.531404106,16345228510,53484550043
kmeans,icc,native,1,native,289706286,1223,158,82091083,,48572273672,,0,70438143160,4643,18.552477076,24874282827,279034979642
pca,icc,native,1,native,101481604,17765,4491600,4941620,,3574042868,,0,40452064798,196611,10.665495438,6984959127,54811732195
word_count,icc,native,1,native,4054157800,28417,88155,191438908,,3001769344,,0,28798540126,37093565,7.597758622,8137207687,23653730356
matrix_multiply,clang,native,1,native,7232331999,2621,27931,34303045,,10550441916,,0,26919422265,332622,7.093683396,16238108023,53400819285
kmeans,clang,native,1,native,329777610,1221,184,82490009,,40582328545,,0,69909015925,3738,18.415642425,36681810599,267979009696
pca,clang,native,1,native,102455466,17760,4492181,4936482,,1879588944,,0,31824533188,224497,8.386361383,6975408554,48092699007
word_count,clang,native,1,native,2516485235,28411,409793,133797260,,3469524786,,0,28641763186,36431314,7.547069175,4601901188,20972492310
matrix_multiply,gcc,mpx,1,native,10631672519,2635,246,34408323,,10612056691,,0,127420114941,345550,33.575969962,63744033163,218952299878
kmeans,gcc,mpx,1,native,261269529,1514,158,254676557,,40409370782,,0,226906133020,6968,59.764043834,93195812102,501657815371
pca,gcc,mpx,1,native,146555816,17376,3023210,4998299,,13685762293,,0,203386725925,166656,53.582709856,121859497757,379108379913
word_count,gcc,mpx,1,native,10249718670,31224,2818940,239427175,,5730276147,,0,53108582160,111843637,14.866601983,13461131343,47199824388
matrix_multiply,gcc,mpx_no_narrow_bounds,1,native,10648009804,2635,316,34387906,,10607037939,,0,127492945906,345606,33.582143982,63738289423,218864127378
kmeans,gcc,mpx_no_narrow_bounds,1,native,255275348,1512,42,254760464,,40423574339,,0,227076781947,11272,59.81139223,93202705123,501691824750
pca,gcc,mpx_no_narrow_bounds,1,native,152406119,16363,2447471,4974304,,13680644326,,0,203383667802,128715,53.579554826,121859880190,379085505981
word_count,gcc,mpx_no_narrow_bounds,1,native,10262014880,30250,2772029,240422492,,5751697698,,0,52735072259,111663650,14.64036796,13466028810,47256931289
matrix_multiply,icc,mpx,1,native,7227464406,2642,414,34453370,,10583722100,,0,36251607080,333608,9.553322729,16346684234,73710220828
kmeans,icc,mpx,1,native,288540646,1524,22,81038865,,48578287646,,0,107164449886,5451,28.235423456,29187397940,336210109371
pca,icc,mpx,1,native,117596703,17792,4502786,4961478,,3560189731,,0,38623501976,209813,10.179764621,7015758271,68457950174
word_count,icc,mpx,1,native,19240545833,32059,468626,186926767,,10084468141,,0,85051252036,61065684,22.424241221,30797576002,93677585921
matrix_multiply,icc,mpx_no_narrow_bounds,1,native,7232609935,2644,422,34485369,,10586899759,,0,36209214319,352920,9.549858579,16344544306,73719174970
kmeans,icc,mpx_no_narrow_bounds,1,native,293794349,1583,102,81019942,,48575553126,,0,107161027612,21293,28.235526359,29194294129,336130591148
pca,icc,mpx_no_narrow_bounds,1,native,109713619,17811,4500949,4974900,,3568742214,,0,38608920233,230044,10.172935358,7015287047,68462299496
word_count,icc,mpx_no_narrow_bounds,1,native,19151335294,31145,439825,185720943,,10057835234,,0,84772019246,55643772,22.35593043,30796942739,93640501976
matrix_multiply,softbound,enabled,1,native,7336166235,2638,30043,34349657,,37577685865,,0,43495115404,336145,11.467447325,60425157267,148649666263
kmeans,softbound,enabled,1,native,20271733848,1252,66,81151178,,182328568992,,0,158619686532,3589,41.780358159,259303673959,725418472682
pca,softbound,enabled,1,native,151209933,17793,3770300,4959812,,94868144154,,0,75669809232,202486,19.933703899,108510134745,365987024694
matrix_multiply,clang,asan,1,native,7260171658,3811,27736,34583758,,20800367293,,0,32434586800,426272,8.54732193,26540832939,104659449956
kmeans,clang,asan,1,native,433079364,3647,4891,80714077,,89675100077,,0,120254900863,1086489,31.675196856,81904475762,518178250340
pca,clang,asan,1,native,130300617,25590,4542098,4931901,,15443153100,,0,31781839810,6786411,8.374505377,20559258630,129457692849
word_count,clang,asan,1,native,64829726287,32891,121581,186805996,,72088312910,,0,94839092755,87138358,24.985527461,71620984664,358221886769
matrix_multiply,gcc,native,1,native,7222469689,2617,3331,34306861,,10555729645,,0,32594249363,336883,8.590667882,19712136956,80326638630
kmeans,gcc,native,1,native,540793818,1218,180,256576587,,44461810378,,0,50356995816,5667,13.281310396,48982533429,187956408767
pca,gcc,native,1,native,125802705,17756,4481471,4954186,,3571946877,,0,41431684739,204987,10.923120823,7024815086,58294754886
word_count,gcc,native,1,native,2469581259,28408,517218,235365218,,3826850798,,0,23417336682,84801653,6.170825559,4403303472,20420582120
matrix_multiply,icc,native,1,native,7228405858,2619,27609,34336126,,10593584383,,0,28666530824,327432,7.555418281,16343503555,53535209780
kmeans,icc,native,1,native,289619886,1223,122,82126133,,48553113954,,0,70393549708,5495,18.541943997,24889714111,278993882045
pca,icc,native,1,native,102326490,17766,4483421,4943711,,3573680391,,0,40437954856,221181,10.654202252,6985731203,54826162330
