name,compiler,type,threads,input,instructions,mpxerrors,branch_misses,major_faults,cycles,dtlb_loads,dtlb_load_misses,dtlb_store_misses,branch_instructions,time,dtlb_stores,minor_faults,mpxbtnum
word_count,gcc,native,1,1,9141109832,,107590393,0,9793724172,1954158532,19773263,98218,1741949677,2.581320842,1013440564,14384,
word_count,gcc,native,1,2,20486226025,,234780117,0,23315565167,4399572626,84313808,487963,3851265362,6.143574887,2474845957,28408,
word_count,gcc,native,1,3,35644844336,,479173883,0,42630850747,6967867267,200281815,593769,7341976195,11.232245245,3050996710,55725,
word_count,gcc,native,1,0,2001837120,,18833951,0,1898373053,463775737,212834,7238,336755305,0.500759136,321042346,3283,
word_count,gcc,native,1,1,9158030465,,107636401,0,9797390720,1955070821,19340776,94435,1749059697,2.581697067,1020999600,14384,
word_count,gcc,native,1,2,20485052730,,236280062,0,23325567697,4406103388,84243245,559975,3864040128,6.154455085,2497018734,28408,
word_count,gcc,native,1,3,35685196371,,481356735,0,42765593470,6947307733,200492345,609925,7332602025,11.268507263,3028760366,55726,
pca,gcc,native,1,0,538973448,,131406,0,196007930,104054102,2496,25,60438970,0.066257861,1481593,1235,
pca,gcc,native,1,1,3852335995,,452436,0,1240288218,491338277,12128,119309,249870665,0.328099027,26409296,2933,
pca,gcc,native,1,2,15138355771,,1360783,0,5002424288,1624584597,49755,1060985,959463600,1.331221614,50364266,6788,
pca,gcc,native,1,3,58761636674,,4952992,0,20193234287,6975627303,221926,4449973,3582887702,5.345104279,122617972,17795,
pca,gcc,native,1,0,644610751,,157762,0,211152719,91364504,2348,49,67368891,0.066422834,948321,1238,
pca,gcc,native,1,1,3854033900,,434289,0,1243397539,491114861,12264,118090,253437544,0.32875385,26267762,2934,
pca,gcc,native,1,2,15057534999,,1330141,0,5000144658,1681705199,48918,1137631,958554151,1.334151585,50286843,6789,
pca,gcc,native,1,3,56150518672,,4918295,0,20162021747,7015983730,235394,4615909,3556355537,5.346732779,119390628,17791,
pca,gcc,native,1,0,782520583,,146973,0,213029924,91077193,3174,27,67155484,0.070008598,3262207,1237,
pca,gcc,native,1,1,3788625083,,404780,0,1227439063,458742955,11206,135731,262786001,0.33311196,28785354,2935,
pca,gcc,native,1,2,14845371038,,1309573,0,5186633731,1853346883,686888,1025054,935948868,1.37758695,49756227,6789,
pca,gcc,native,1,3,54833869491,,4867598,0,20192263221,7062158458,236783,4429383,3466857081,5.346131677,125779349,17798,
pca,gcc,native,1,0,603009098,,147029,0,171939592,91130900,2225,11,60177907,0.067380627,490422,1237,
pca,gcc,native,1,1,3775526495,,381910,0,1213280751,478594711,10469,140076,224975106,0.329127393,32979343,2934,
pca,gcc,native,1,2,15096384395,,1248313,0,5029575365,1619560074,46660,1207172,959583999,1.334067698,49530380,6790,
pca,gcc,native,1,3,60589742058,,5074034,0,20151193896,6896933642,235298,4463324,3668437044,5.345064286,126472338,17794,
pca,gcc,native,1,0,538309153,,147619,0,200024833,96539555,2078,24,58941202,0.06752173,470624,1238,
pca,gcc,native,1,1,3369320717,,410219,0,1209536189,525873007,9471,112595,248495408,0.333289184,34742066,2931,
pca,gcc,native,1,2,14490978477,,1246862,0,5002162656,1682320070,49673,1164269,924181359,1.332042085,49980039,6789,
pca,gcc,native,1,3,59438356676,,4913231,0,20121113152,7007047678,240366,4399265,3572642241,5.345563957,126035221,17794,
pca,gcc,native,1,0,655458140,,148393,0,161137998,92107018,3360,8,60294130,0.065033919,3624483,1235,
pca,gcc,native,1,1,4298464189,,423794,0,1213185789,431831555,11680,137107,251598193,0.33773514,26954516,2930,
pca,gcc,native,1,2,16295807159,,1354104,0,4957724411,1634704885,28365,483159,1000306092,1.340149764,48406523,6825,
