name,compiler,type,threads,input,time,sgxmem,instructions,l1_dcache_loads,llc_load_misses,sgxtime,mpxbtnum,l1_dcache_store_misses,mpxerrors,l1_dcache_load_misses,l1_dcache_stores,llc_store_misses,llc_loads,llc_stores
word_count,icc,mpx_only_write,1,native,20.829315208,,73350005511,27112820044,69324331,,,1,,5607188555,16324581412,2209942,1801601245,3037261
matrix_multiply,icc,mpx,1,native,9.563192842,,73772875941,16349278127,670897,,,1,,286588363,7268079929,11977,2992294,104292
pca,icc,mpx,1,native,10.418701443,,68370179932,6988092628,830219,,,1,,874018933,118153177,4996089,3827579,9990870
kmeans,icc,mpx,1,native,29.066400398,,336056934347,29180915818,8728610,,,1,,486299860,308310709,13574,137122709,269050
word_count,icc,mpx,1,native,22.516572422,,94418071308,30678267275,68747266,,,1,,5624280293,19188748361,2030467,1793448874,2855534
matrix_multiply,gcc,native,1,native,8.603280322,,80358442709,19705536093,521736,,,1,,299208653,7224069848,10907,2858261,388619
pca,gcc,native,1,native,10.921554492,,58262759480,7012900257,651598,,,1,,864142851,144831367,5134350,3628927,10171341
kmeans,gcc,native,1,native,13.274773021,,188193451720,49033763046,543089,,,1,,383055163,555327577,3687,98109788,255075
word_count,gcc,native,1,native,6.144166592,,20493598854,4405401858,10146178,,,1,,1782337976,2493494167,1793070,851577759,2871105
matrix_multiply,icc,native,1,native,7.450463322,,53516544606,16343468248,644756,,,1,,291189871,7265235517,568643,2789983,104180
pca,icc,native,1,native,10.571806716,,54777582463,6975021164,681621,,,1,,864926896,115815764,5087355,3624379,10180040
kmeans,icc,native,1,native,18.607053295,,278943210797,24864425414,132919,,,1,,388097356,301006932,108,98860626,249125
word_count,icc,native,1,native,7.524062659,,23500646769,8024960796,5749227,,,1,,1357667996,4157932484,1789137,148991150,2418594
matrix_multiply,clang,native,1,native,7.131719372,,53401426218,16228293640,552866,,,1,,314691711,7225047023,10985,2917387,94490
pca,clang,native,1,native,8.384736428,,48097385341,6966751826,508078,,,1,,864463356,116740349,5281060,4219469,10184105
kmeans,clang,native,1,native,18.411871687,,267947471709,36655592407,47978,,,1,,390863219,343940132,1497,99135256,188045
word_count,clang,native,1,native,7.539596573,,20853419839,4563408959,4797971,,,1,,1341650186,2577112746,1806915,572603320,2516363
matrix_multiply,gcc,asan,1,native,14.444420829,,199129700786,30122952337,700072,,,1,,264586221,7268104792,12515,3095653,124626
pca,gcc,asan,1,native,23.772164531,,406156378246,54320536611,6827757,,,1,,1112915058,116577220,6023715,25288835,11674878
kmeans,gcc,asan,1,native,40.035422628,,681077328932,97590905534,4093534,,,1,,552604503,289981481,14818,125775981,436533
word_count,gcc,asan,1,native,24.762416665,,364336084877,72798508136,6667284,,,1,,1591486195,64835470886,1862768,338815668,2669297
matrix_multiply,clang,asan,1,native,8.579778463,,104666018606,26573645138,688751,,,1,,276331472,7265373561,11454,2918879,98277
pca,clang,asan,1,native,8.379749273,,129469594818,20555148435,8029363,,,1,,1127800272,118536495,8456419,24163896,11048365
kmeans,clang,asan,1,native,31.633480913,,517961834344,81903191814,888295,,,1,,530853997,442440551,137528,121058977,400030
word_count,clang,asan,1,native,24.952635018,,357605832945,71598164082,5568073,,,1,,1522430116,64678777963,1874297,297352485,2581259
matrix_multiply,gcc,mpx_only_write,1,native,11.295930704,,107320877621,33108816320,577107,,,1,,295417303,7227983486,10496,3067586,109356
pca,gcc,mpx_only_write,1,native,10.907910253,,58385293777,10399568759,524123,,,1,,878852510,152071146,6143414,3642689,11051746
kmeans,gcc,mpx_only_write,1,native,13.752785178,,193188543460,53019390469,170112,,,1,,407626273,677634426,9284,94229094,396247
word_count,gcc,mpx_only_write,1,native,14.49623504,,45302166702,12852554698,189118717,,,1,,6401217045,10237292087,2537128,3054889924,3167348
matrix_multiply,gcc,mpx,1,native,33.628352867,,218934013915,63755731592,648192,,,1,,299249577,10648780127,11816,3674553,173280
pca,gcc,mpx,1,native,53.58167398,,379023445010,121833079592,747824,,,1,,943598335,157909710,3330583,6401182,8368790
kmeans,gcc,mpx,1,native,59.936942535,,501681145953,93184031313,8471690,,,1,,502842575,276524540,9219,132244403,480265
word_count,gcc,mpx,1,native,14.693366704,,47304066201,13433274794,182699812,,,1,,6254212148,10201906570,2406974,2966372924,6272973
matrix_multiply,icc,mpx_only_write,1,native,8.207360908,,63519093391,16323384266,541667,,,1,,291551872,7260603449,703970,2896782,803126
pca,icc,mpx_only_write,1,native,10.576339421,,54787931000,6972017062,702450,,,1,,869262724,114090542,5194898,3776645,10093095
kmeans,icc,mpx_only_write,1,native,18.588008994,,279214202975,24884895959,170951,,,1,,381353411,305647418,500,97595159,276881
word_count,icc,mpx_only_write,1,native,20.952190956,,73061431022,26962955085,73207081,,,1,,5583975675,16324680422,1950238,1802819951,2731736
matrix_multiply,icc,mpx,1,native,9.588722837,,73631902056,16328554836,661084,,,1,,302386648,7258479407,13650,3015472,100542
pca,icc,mpx,1,native,10.434816746,,68478885745,6997028444,1141195,,,1,,877400474,118224190,5670217,4659733,10006743
kmeans,icc,mpx,1,native,28.985458173,,336276348777,29179595989,7939971,,,1,,483962518,307193542,12328,137234494,385271
word_count,icc,mpx,1,native,22.401859153,,94559374568,30795774371,65438616,,,1,,5629918548,19194152773,2240246,1780482265,3517877
matrix_multiply,gcc,native,1,native,8.619742931,,80369381654,19705183063,618002,,,1,,290073184,7227955487,11947,2948392,103292
pca,gcc,native,1,native,10.911102698,,58295333908,7020758272,661120,,,1,,864710151,145443227,5139794,3625964,10173233
kmeans,gcc,native,1,native,13.254002862,,187813049484,48955435882,124945,,,1,,386838200,558156567,16,96817398,252897
word_count,gcc,native,1,native,6.153602265,,20397757388,4409074063,10208862,,,1,,1788440506,2473497746,1735443,846070173,2686692
matrix_multiply,icc,native,1,native,7.464976604,,53435083527,16331381348,570569,,,1,,303958843,7258386453,9260,3015264,92867
pca,icc,native,1,native,10.56317049,,54827826007,6982854307,679757,,,1,,865221786,115547197,5345935,3567935,10162366
kmeans,icc,native,1,native,18.599514839,,278991383034,24879382768,48308,,,1,,390043711,303820014,1088,98610796,242403
word_count,icc,native,1,native,7.501234,,23571723403,8129829710,5761155,,,1,,1362315414,4135819171,1769380,149916231,2339164
matrix_multiply,clang,native,1,native,7.119792952,,53296385968,16210901586,561824,,,1,,302588191,7223241712,568997,2794887,664373
pca,clang,native,1,native,8.380492875,,48079948236,6972949770,484006,,,1,,864571071,115063059,5416339,4205186,10192739
kmeans,clang,native,1,native,18.411527154,,267969388488,36667578500,16775,,,1,,391514047,343952135,724,99227962,241714
word_count,clang,native,1,native,7.534878471,,20889380201,4587714094,4707748,,,1,,1342451310,2579001884,1771207,571995814,2537296
matrix_multiply,gcc,asan,1,native,14.4775577,,199120699546,30126918726,700905,,,1,,269453455,7268355773,12178,3104730,118044
pca,gcc,asan,1,native,23.775553944,,406260320934,54324335430,7225412,,,1,,1107491329,115296558,6000087,25102964,11364142
kmeans,gcc,asan,1,native,40.018264619,,680759231320,97537609022,3467632,,,1,,555298090,283903909,8899,125388441,449402
word_count,gcc,asan,1,native,24.778415306,,362610858711,72572133224,6706362,,,1,,1594995411,64812434234,1781199,339619200,2485177
matrix_multiply,clang,asan,1,native,8.587734224,,104565171909,26561022273,698279,,,1,,270395178,7264323916,569080,2766035,98649
pca,clang,asan,1,native,8.375264837,,129480743162,20556441184,8001466,,,1,,1121128356,115571597,8587703,24361719,11216647
kmeans,clang,asan,1,native,31.92579431,,517957256315,81890351992,5044109,,,1,,522936135,438261802,29283,123551448,297611
word_count,clang,asan,1,native,25.060536787,,358654865727,71677830394,5668944,,,1,,1522910875,64508389319,1824315,297069094,2771978
matrix_multiply,gcc,mpx_only_write,1,native,11.229205826,,107252236635,33105435981,517731,,,1,,291092407,7226293839,11057,3050595,112630
pca,gcc,mpx_only_write,1,native,10.895145031,,58275620470,10388596522,1062508,,,1,,880111494,151786889,5850024,4999920,10932721
kmeans,gcc,mpx_only_write,1,native,13.750791818,,193228374787,53007761373,70008,,,1,,409957825,677307040,8150,94136816,315478
word_count,gcc,mpx_only_write,1,native,14.298555362,,45296372931,12860192243,176956726,,,1,,6400074387,10275416126,2398239,3048764311,6204959
matrix_multiply,gcc,mpx,1,native,33.583864162,,218812511107,63714148944,546880,,,1,,285385485,10637487506,11861,3657987,540327
pca,gcc,mpx,1,native,53.580968262,,378997855298,121825828053,1766389,,,1,,945932546,157352900,1488815,8697889,3777362
kmeans,gcc,mpx,1,native,59.778255384,,501632399738,93195558164,5746585,,,1,,518687778,276038690,9047,131404514,344905
word_count,gcc,mpx,1,native,14.838657504,,47065726081,13413630329,192411762,,,1,,6278155771,10202502174,2499577,2953175286,4407610
matrix_multiply,icc,mpx_only_write,1,native,8.204775282,,63542601116,16323950302,544379,,,1,,298309488,7259267999,703278,2912732,771624
pca,icc,mpx_only_write,1,native,10.583287043,,54863209333,6985068110,723907,,,1,,868743683,116964119,5148398,3880760,10103829
kmeans,icc,mpx_only_write,1,native,18.570159399,,279222383564,24880950985,70424,,,1,,381349297,305933592,76,97871141,203884
word_count,icc,mpx_only_write,1,native,21.039998563,,73069821997,26982432098,74017492,,,1,,5575550088,16247343859,2099551,1785884116,2798570
matrix_multiply,icc,mpx,1,native,9.580120834,,73645585301,16329850888,596997,,,1,,296217257,7258591648,11302,2992328,102924
pca,icc,mpx,1,native,10.42238772,,68326967278,6987957829,1064510,,,1,,874765938,119518840,5340925,4817624,9998277
kmeans,icc,mpx,1,native,29.067919429,,336068857598,29180682530,9259983,,,1,,485824371,308333765,11175,137284797,321981
word_count,icc,mpx,1,native,22.516086245,,94317628029,30718980529,70004101,,,1,,5626254294,19208502158,2103915,1792644914,2998367
matrix_multiply,gcc,native,1,native,8.597725717,,80258930473,19686691752,616713,,,1,,289671481,7223974195,567123,2780048,100681
pca,gcc,native,1,native,10.917287818,,58280106268,7016050865,639472,,,1,,864204690,145426958,5261919,3517503,10176222
kmeans,gcc,native,1,native,13.269943018,,187839720374,48963681153,473282,,,1,,383952653,555133781,3570,98175884,246512
word_count,gcc,native,1,native,6.155817267,,20390247159,4406039883,10342510,,,1,,1784952122,2465490660,1733467,847408439,2700276
matrix_multiply,icc,native,1,native,7.47006525,,53422518675,16324015366,671224,,,1,,300457356,7259181703,10488,2997498,95213
