name,compiler,type,threads,input,major_faults,sys_time,voluntary_context_switches,maxsize,user_time,mpxerrors,involuntary_context_switches,mpxbtnum,sgxtime,sgxmem,minor_faults,time
kmeans,icc,native,1,3,0,0.01,1,139960,0.49,,5,,,,25863,0.51
kmeans,icc,native,1,4,0,0.05,1,277352,1.05,,4,,,,51547,1.1
pca,icc,native,1,0,0,0,1,6896,0.13,,3,,,,1227,0.13
pca,icc,native,1,1,0,0,1,13880,0.67,,4,,,,2927,0.67
pca,icc,native,1,2,0,0,1,29256,2.68,,10,,,,6780,2.68
pca,icc,native,1,3,0,0.01,1,73184,10.63,,23,,,,17788,10.65
matrix_multiply,icc,native,1,0,0,0.14,1,3372,0.04,,2,,,,287,0.19
matrix_multiply,icc,native,1,1,1,0.76,1,6916,0.56,,6,,,,787,1.33
matrix_multiply,icc,native,1,2,1,3.06,1,25252,4.51,,16,,,,2646,7.57
matrix_multiply,icc,native,1,3,1,12.14,3,107048,35.85,,93,,,,10063,48
kmeans,clang,native,1,0,0,0,1,19576,0.24,,3,,,,3953,0.25
kmeans,clang,native,1,1,0,0,1,36900,0.15,,2,,,,7230,0.16
kmeans,clang,native,1,2,0,0,1,71060,0.29,,3,,,,13775,0.29
kmeans,clang,native,1,3,0,0.02,1,139976,0.51,,4,,,,26368,0.54
kmeans,clang,native,1,4,0,0.03,1,277500,1.14,,3,,,,51033,1.17
pca,clang,native,1,0,0,0,1,6948,0.1,,2,,,,1225,0.1
pca,clang,native,1,1,0,0,1,13780,0.52,,3,,,,2922,0.53
pca,clang,native,1,2,0,0,1,29132,2.1,,6,,,,6777,2.1
pca,clang,native,1,3,0,0.01,1,73092,8.36,,17,,,,17780,8.38
matrix_multiply,clang,native,1,0,0,0.13,1,3364,0.05,,2,,,,286,0.19
matrix_multiply,clang,native,1,1,1,0.75,1,6896,0.52,,4,,,,784,1.28
matrix_multiply,clang,native,1,2,1,3,1,25324,4.16,,18,,,,2637,7.17
matrix_multiply,clang,native,1,3,1,11.99,1,107068,32.54,,90,,,,10053,44.54
kmeans,gcc,mpx,1,0,0,0,1,36960,0.58,,2,,,,5189,0.59
kmeans,gcc,mpx,1,1,0,0.01,1,66224,0.32,,3,,,,10472,0.33
kmeans,gcc,mpx,1,2,0,0.01,1,123460,0.58,,2,,,,20165,0.6
kmeans,gcc,mpx,1,3,0,0.04,1,242928,0.97,,4,,,,38820,1.01
kmeans,gcc,mpx,1,4,0,0.07,1,485860,2.22,,8,,,,76528,2.29
pca,gcc,mpx,1,0,0,0,1,11140,0.63,,2,,,,1245,0.64
pca,gcc,mpx,1,1,0,0,1,15888,3.36,,9,,,,2944,3.37
pca,gcc,mpx,1,2,0,0,1,33348,13.41,,28,,,,6795,13.42
pca,gcc,mpx,1,3,0,0.01,8,75516,53.52,,107,,,,17716,53.55
matrix_multiply,gcc,mpx,1,0,0,0.14,1,7624,0.3,,4,,,,302,0.45
matrix_multiply,gcc,mpx,1,1,1,0.74,1,11204,3.8,,10,,,,802,4.54
matrix_multiply,gcc,mpx,1,2,1,3.04,1,31140,30.54,,67,,,,2658,33.59
matrix_multiply,gcc,mpx,1,3,,,,,,,,,,,,
kmeans,gcc,mpx_no_narrow_bounds,1,0,0,0,1,39708,0.59,,2,,,,5884,0.59
kmeans,gcc,mpx_no_narrow_bounds,1,1,0,0,1,64232,0.32,,4,,,,10491,0.33
kmeans,gcc,mpx_no_narrow_bounds,1,2,0,0.02,1,125408,0.58,,2,,,,19654,0.6
kmeans,gcc,mpx_no_narrow_bounds,1,3,0,0.02,1,243600,0.98,,4,,,,38491,1.01
kmeans,gcc,mpx_no_narrow_bounds,1,4,0,0.05,1,483924,2.23,,9,,,,76565,2.28
pca,gcc,mpx_no_narrow_bounds,1,0,0,0,1,9200,0.64,,3,,,,1247,0.64
pca,gcc,mpx_no_narrow_bounds,1,1,0,0,5,17904,3.36,,8,,,,2950,3.37
pca,gcc,mpx_no_narrow_bounds,1,2,0,0,3,31328,13.41,,30,,,,6809,13.41
pca,gcc,mpx_no_narrow_bounds,1,3,0,0.01,7,75512,53.52,,98,,,,16632,53.54
matrix_multiply,gcc,mpx_no_narrow_bounds,1,0,0,0.14,1,7636,0.31,,3,,,,302,0.45
matrix_multiply,gcc,mpx_no_narrow_bounds,1,1,1,0.76,1,11140,3.77,,13,,,,803,4.53
matrix_multiply,gcc,mpx_no_narrow_bounds,1,2,1,3.03,1,28968,30.54,,61,,,,2655,33.58
matrix_multiply,gcc,mpx_no_narrow_bounds,1,3,,,,,,,,,,,,
kmeans,icc,mpx,1,0,0,0,1,36712,0.32,,2,,,,5578,0.33
kmeans,icc,mpx,1,1,0,0,1,68460,0.2,,3,,,,10501,0.2
kmeans,icc,mpx,1,2,0,0,1,129484,0.37,,2,,,,20097,0.38
kmeans,icc,mpx,1,3,0,0.04,1,250956,0.63,,5,,,,38732,0.68
kmeans,icc,mpx,1,4,0,0.06,1,484476,1.41,,5,,,,75661,1.48
pca,icc,mpx,1,0,0,0,1,11388,0.12,,3,,,,1253,0.12
