name,compiler,type,threads,input,dtlb_loads,major_faults,mpxerrors,minor_faults,dtlb_store_misses,branch_misses,branch_instructions,dtlb_load_misses,mpxbtnum,time,cycles,dtlb_stores,sgxmem,instructions,sgxtime
string_match,gcc,mpx,8,native,9991261657,0,,8475,737,65568886,9733484078,59547,,1.382600847,39000488825,7554747545,,51771165368,
pca,gcc,mpx,2,native,229917465522,0,,17876,1856409,5182183,13697269612,209282,,42.70353285,321138633031,155979911,,540983119294,
pca,gcc,mpx,4,native,229888331498,0,,17851,3638224,5272664,13697217030,411532,,22.420768041,321363440561,154069700,,541163881336,
pca,gcc,mpx,8,native,229922360682,0,,17866,4241620,5391582,13712522314,438412,,21.509316597,615447102954,167652456,,541333171637,
word_count,gcc,mpx_no_narrow_bounds,2,native,13043733756,0,,42520,470445,213522739,4986068179,17607879,,6.464757135,46426185394,9299750583,,44025886602,
word_count,gcc,mpx_no_narrow_bounds,4,native,13103392473,0,,42546,342624,214667148,4992033568,17863955,,5.880165252,57686282739,9230629090,,43918256049,
word_count,gcc,mpx_no_narrow_bounds,8,native,13140026866,0,,42542,642060,221255396,5007940610,46716879,,9.664042071,125128057427,9200201555,,44118095786,
kmeans,gcc,mpx_no_narrow_bounds,2,native,20893753831,0,,3335,2257,53377474,7424468331,1209796,,6.434288255,32329260136,17895120,,68229472123,
kmeans,gcc,mpx_no_narrow_bounds,4,native,18443176655,0,,3190,3856,49942111,6735499962,1432343,,3.591175809,35660863501,35693620,,74297140965,
kmeans,gcc,mpx_no_narrow_bounds,8,native,19778153600,0,,3099,48951,55761839,7499079604,4210643,,3.115208892,74717186507,39963721,,86475007074,
histogram,gcc,mpx_no_narrow_bounds,2,native,6615241362,0,,21643,857,289212,511006737,72867,,2.210315801,16371294367,1431904640,,28141717679,
histogram,gcc,mpx_no_narrow_bounds,4,native,6584701841,0,,21647,750,319671,504572351,76612,,1.237945259,16929764676,1450684105,,28252322621,
histogram,gcc,mpx_no_narrow_bounds,8,native,6621005164,0,,21645,857,295319,513170283,79372,,1.284973284,31750000026,1433430013,,28239084858,
linear_regression,gcc,mpx_no_narrow_bounds,2,native,10032237025,0,,8458,427,179724,286457868,45187,,2.566113636,19253234886,1631628285,,33175551050,
linear_regression,gcc,mpx_no_narrow_bounds,4,native,10081867739,0,,8459,295,211516,294648591,66486,,2.673089391,36101598312,1636874373,,32424995976,
linear_regression,gcc,mpx_no_narrow_bounds,8,native,10018502693,0,,8459,234,258343,297087804,69764,,4.423107329,109928283294,1664276013,,32550024492,
matrix_multiply,gcc,mpx_no_narrow_bounds,2,native,19713191229,0,,1140,399090,2507174,7134364370,767947940,,8.17511321,49530300317,3861049443,,76433909514,
