"name","compiler","type","input","threads","num_clients","tput","lat"
"bin/memcached","gcc","mpx_no_narrow_bounds",64,1,64,121620,525
"bin/memcached","gcc","mpx_no_narrow_bounds",128,1,128,155843,820
"bin/memcached","gcc","mpx_no_narrow_bounds",192,1,192,129644,1480
"bin/memcached","gcc","mpx_no_narrow_bounds",256,1,256,120449,2125
"bin/memcached","gcc","mpx_no_narrow_bounds",320,1,320,157624,2029
"bin/memcached","gcc","mpx_no_narrow_bounds",384,1,384,127334,3015
"bin/memcached","gcc","mpx_no_narrow_bounds",448,1,448,125808,3561
"bin/memcached","gcc","mpx_no_narrow_bounds",512,1,512,169315,3024
"bin/memcached","gcc","mpx_no_narrow_bounds",32,1,32,102517,311
"bin/memcached","gcc","mpx_no_narrow_bounds",64,1,64,127909,499
"bin/memcached","gcc","mpx_no_narrow_bounds",128,1,128,158235,808
"bin/memcached","gcc","mpx_no_narrow_bounds",192,1,192,123123,1559
"bin/memcached","gcc","mpx_no_narrow_bounds",256,1,256,125115,2045
"bin/memcached","gcc","mpx_no_narrow_bounds",320,1,320,128739,2485
"bin/memcached","gcc","mpx_no_narrow_bounds",384,1,384,127120,3020
"bin/memcached","gcc","mpx_no_narrow_bounds",448,1,448,128021,3499
"bin/memcached","gcc","mpx_no_narrow_bounds",512,1,512,134978,3793
"bin/memcached","gcc","mpx_no_narrow_bounds",32,1,32,99814,320
"bin/memcached","gcc","mpx_no_narrow_bounds",64,1,64,128908,495
"bin/memcached","gcc","mpx_no_narrow_bounds",128,1,128,123410,1036
"bin/memcached","gcc","mpx_no_narrow_bounds",192,1,192,126208,1520
"bin/memcached","gcc","mpx_no_narrow_bounds",256,1,256,127947,2000
"bin/memcached","gcc","mpx_no_narrow_bounds",320,1,320,129570,2469
"bin/memcached","gcc","mpx_no_narrow_bounds",384,1,384,137738,2787
"bin/memcached","gcc","mpx_no_narrow_bounds",448,1,448,154580,2898
"bin/memcached","gcc","mpx_no_narrow_bounds",512,1,512,134891,3796
"bin/memcached","gcc","mpx_no_narrow_bounds",32,1,32,104714,305
"bin/memcached","gcc","mpx_no_narrow_bounds",64,1,64,151509,421
"bin/memcached","gcc","mpx_no_narrow_bounds",128,1,128,126419,1012
"bin/memcached","gcc","mpx_no_narrow_bounds",192,1,192,126155,1521
"bin/memcached","gcc","mpx_no_narrow_bounds",256,1,256,156741,1632
"bin/memcached","gcc","mpx_no_narrow_bounds",320,1,320,135254,2365
"bin/memcached","gcc","mpx_no_narrow_bounds",384,1,384,138371,2775
"bin/memcached","gcc","mpx_no_narrow_bounds",448,1,448,136137,3291
"bin/memcached","gcc","mpx_no_narrow_bounds",512,1,512,129262,3961
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",32,1,32,105595,302
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",64,1,64,128111,499
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",128,1,128,133287,959
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",192,1,192,131733,1457
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",256,1,256,157399,1626
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",320,1,320,134005,2387
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",384,1,384,130249,2948
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",448,1,448,152386,2940
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",512,1,512,131880,3883
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",32,1,32,99378,321
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",64,1,64,148395,430
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",128,1,128,135199,946
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",192,1,192,128919,1488
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",256,1,256,126472,2023
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",320,1,320,126172,2536
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",384,1,384,131584,2918
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",448,1,448,133316,3360
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",512,1,512,135903,3768
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",32,1,32,102667,311
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",64,1,64,122457,522
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",128,1,128,121434,1053
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",192,1,192,131700,1457
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",256,1,256,126346,2025
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",320,1,320,135948,2353
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",384,1,384,149996,2560
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",448,1,448,138903,3225
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",512,1,512,146311,3499
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",32,1,32,120958,263
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",64,1,64,129348,494
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",128,1,128,128695,994
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",192,1,192,132529,1448
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",256,1,256,126876,2017
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",320,1,320,151596,2110
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",384,1,384,131803,2913
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",448,1,448,128606,3483
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",512,1,512,156698,3267
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",32,1,32,108231,295
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",64,1,64,130277,490
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",128,1,128,158708,805
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",192,1,192,132246,1451
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",256,1,256,134717,1900
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",320,1,320,156235,2047
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",384,1,384,127492,3012
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",448,1,448,135792,3299
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",512,1,512,158042,3239
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",32,1,32,101647,314
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",64,1,64,126718,504
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",128,1,128,156342,818
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",192,1,192,125251,1532
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",256,1,256,130961,1954
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",320,1,320,130059,2460
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",384,1,384,132086,2907
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",448,1,448,136316,3286
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",512,1,512,135739,3772
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",32,1,32,102894,310
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",64,1,64,131376,486
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",128,1,128,131528,972
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",192,1,192,137886,1392
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",256,1,256,130617,1959
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",320,1,320,129866,2464
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",384,1,384,131893,2911
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",448,1,448,164637,2721
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",512,1,512,130898,3912
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",32,1,32,101242,315
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",64,1,64,155600,410
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",128,1,128,121466,1053
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",192,1,192,125765,1526
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",256,1,256,137062,1867
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",320,1,320,127555,2508
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",384,1,384,153939,2494
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",448,1,448,132698,3376
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",512,1,512,135400,3782
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",32,1,32,113645,281
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",64,1,64,129654,493
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",128,1,128,123630,1034
