name,compiler,type,threads,input,dtlb_store_misses,mpxbtnum,sgxtime,tput,instructions,branch_instructions,dtlb_stores,num_clients,cycles,branch_misses,major_faults,dtlb_load_misses,time,mpxerrors,lat,dtlb_loads,minor_faults,sgxmem
bin/memcached,icc,native,1,256,,,,281404.0,,,,256,,,,,,,909.0,,,
bin/memcached,icc,native,1,320,,,,281326.0,,,,320,,,,,,,1136.0,,,
bin/memcached,icc,native,1,384,,,,281345.0,,,,384,,,,,,,1364.0,,,
bin/memcached,icc,native,1,448,,,,280974.0,,,,448,,,,,,,1594.0,,,
bin/memcached,icc,native,1,512,,,,281567.0,,,,512,,,,,,,1817.0,,,
bin/memcached,icc,native,1,32,,,,175815.0,,,,32,,,,,,,181.0,,,
bin/memcached,icc,native,1,64,,,,259891.0,,,,64,,,,,,,245.0,,,
bin/memcached,icc,native,1,128,,,,280094.0,,,,128,,,,,,,456.0,,,
bin/memcached,icc,native,1,192,,,,281361.0,,,,192,,,,,,,681.0,,,
bin/memcached,icc,native,1,256,,,,281181.0,,,,256,,,,,,,909.0,,,
bin/memcached,icc,native,1,320,,,,281230.0,,,,320,,,,,,,1137.0,,,
bin/memcached,icc,native,1,384,,,,281531.0,,,,384,,,,,,,1363.0,,,
bin/memcached,icc,native,1,448,,,,281302.0,,,,448,,,,,,,1592.0,,,
bin/memcached,icc,native,1,512,,,,281507.0,,,,512,,,,,,,1818.0,,,
bin/memcached,icc,native,1,32,,,,175898.0,,,,32,,,,,,,181.0,,,
bin/memcached,icc,native,1,64,,,,259942.0,,,,64,,,,,,,245.0,,,
bin/memcached,icc,native,1,128,,,,280490.0,,,,128,,,,,,,455.0,,,
bin/memcached,icc,native,1,192,,,,281350.0,,,,192,,,,,,,681.0,,,
bin/memcached,icc,native,1,256,,,,281221.0,,,,256,,,,,,,909.0,,,
bin/memcached,icc,native,1,320,,,,281400.0,,,,320,,,,,,,1136.0,,,
bin/memcached,icc,native,1,384,,,,281476.0,,,,384,,,,,,,1363.0,,,
bin/memcached,icc,native,1,448,,,,281432.0,,,,448,,,,,,,1591.0,,,
