name,compiler,type,threads,input,dtlb_store_misses,instructions,dtlb_load_misses,branch_instructions,dtlb_loads,mpxbtnum,branch_misses,mpxerrors,time,cycles,major_faults,minor_faults,dtlb_stores
fluidanimate,gcc,native,1,native,235482,1576917001114,126739,208734357853,381871741480,,10963394221,,206.83285663,783852697746,0,2856,39021955155
fluidanimate,gcc,native,1,native,278554,1577622107970,141205,208951665968,381903299553,,10977177440,,206.843102933,783873285243,0,2342,39222220641
fluidanimate,gcc,native,1,native,529279,1577613650896,321749,208907973068,381920046489,,10972311401,,206.901724616,784061313319,0,2856,39174261775
fluidanimate,gcc,native,1,native,453103,1577870660780,264501,208975209371,381924764813,,10976238643,,206.948315846,784033052230,0,2856,39214972579
swaptions,gcc,native,1,native,2388,1315460313007,1083144,163763962720,356635362192,,2434108232,,257.478596774,977410919840,0,853,104794940470
swaptions,gcc,native,1,native,2448,1315485937507,1382,163764050430,356641628619,,2399322449,,257.185256349,976400555191,0,854,104796532305
swaptions,gcc,native,1,native,2558,1315391113397,1106,163759878403,356636433417,,2442761569,,257.587062258,977890527589,0,852,104794772409
swaptions,gcc,native,1,native,2516,1315478292608,610,163762493881,356639126662,,2416937609,,257.469073201,977527469990,0,853,104794861527
swaptions,gcc,native,1,native,2544,1315448907672,318130,163761063749,356639859641,,2419109181,,257.513645927,977543213067,0,855,104795125026
swaptions,gcc,native,1,native,2264,1315539270920,2102,163756509948,356613750790,,2437222738,,257.55664378,977852865119,0,853,104795985642
swaptions,gcc,native,1,native,2536,1315469339400,41913,163766839796,356632667063,,2419286964,,257.51336752,977657009503,0,850,104792314037
swaptions,gcc,native,1,native,2212,1315511875580,54432,163754533360,356623490098,,2411658839,,257.541957053,977458338565,0,850,104795396003
swaptions,gcc,native,1,native,2364,1315477922324,747,163765608635,356642081748,,2437776627,,257.563701321,977811541779,0,853,104793215626
swaptions,gcc,native,1,native,2628,1315472190409,223246,163762781375,356638606719,,2436598805,,257.500585927,977626215720,0,853,104794256274
vips,gcc,native,1,native,170087,741816585255,508663,77868218351,139321248411,,147588325,,65.284809143,237035008854,16679,25160,41909669625
vips,gcc,native,1,native,157127,741362189326,364678,77842100382,139225899390,,146410490,,62.74580835,236701859926,0,24642,41861526959
vips,gcc,native,1,native,171392,741298192425,339361,77791111257,139182811664,,146019739,,63.063994732,236762211738,0,24582,41840792412
